order_id,order_date,category,region,units_sold,unit_price
ORD-1232,2026-01-02,Toys,Unknown,5,16.6
ORD-1011,2026-01-05,Toys,North,25,95.21
ORD-1112,2026-01-05,Toys,North,6,108.7
ORD-1078,2026-01-09,Electronics,North,26,116.67
ORD-1163,2026-01-10,Electronics,East,29,166.72
ORD-1128,2026-01-11,Toys,Unknown,17,138.3
ORD-1174,2026-01-11,Clothing,West,31,130.44
ORD-1268,2026-01-12,Garden,North,21,60.49
ORD-1082,2026-01-14,Garden,West,19,58.7
ORD-1141,2026-01-15,Toys,North,37,142.77
ORD-1150,2026-01-15,Toys,North,31,91.75
ORD-1001,2026-01-19,Electronics,North,6,102.55
ORD-1028,2026-01-20,Home Goods,West,8,117.05
ORD-1181,2026-01-20,Clothing,East,24,107.3
ORD-1216,2026-01-20,Home Goods,North,43,13.34
ORD-1016,2026-01-24,Electronics,North,50,132.97
ORD-1081,2026-01-25,Home Goods,East,43,50.25
ORD-1165,2026-02-01,Electronics,Unknown,42,59.52
ORD-1139,2026-02-10,Electronics,East,19,4.52
ORD-1140,2026-02-13,Clothing,North,43,149.18
ORD-1058,2026-02-16,Home Goods,West,2,136.79
ORD-1023,2026-02-18,Electronics,West,18,184.88
ORD-1036,2026-02-18,Toys,North,10,28.11
ORD-1121,2026-02-18,Electronics,North,43,5.93
ORD-1235,2026-02-18,Clothing,South,47,195.76
ORD-1019,2026-02-19,Electronics,North,46,181.37
ORD-1088,2026-02-19,Clothing,North,23,68.66
ORD-1062,2026-02-21,Electronics,North,16,49.99
ORD-1271,2026-02-24,Garden,North,13,4.33
ORD-1079,2026-02-26,Electronics,South,36,122.44
ORD-1173,2026-02-26,Electronics,Unknown,50,60.81
ORD-1186,2026-02-26,Clothing,South,8,100.32
ORD-1263,2026-02-26,Clothing,Unknown,23,168.22
ORD-1040,2026-02-27,Toys,East,15,81.5
ORD-1184,2026-02-28,Clothing,South,46,193.61
ORD-1027,2026-03-02,Garden,West,33,14.21
ORD-1170,2026-03-03,Toys,West,41,196.26
ORD-1090,2026-03-04,Clothing,North,35,39.95
ORD-1214,2026-03-04,Toys,East,10,11.29
ORD-1037,2026-03-07,Electronics,East,36,194.85
ORD-1197,2026-03-08,Electronics,East,29,60.17
ORD-1152,2026-03-10,Toys,East,44,158.48
ORD-1134,2026-03-12,Electronics,South,43,16.71
ORD-1215,2026-03-15,Clothing,South,35,186.81
ORD-1118,2026-03-18,Electronics,West,18,189.96
ORD-1005,2026-03-19,Electronics,North,15,197.09
ORD-1100,2026-03-20,Electronics,East,35,126.48
ORD-1106,2026-03-21,Home Goods,West,13,24.01
ORD-1217,2026-03-23,Electronics,Unknown,50,193.01
ORD-1069,2026-03-28,Electronics,East,16,134.63
ORD-1175,2026-03-28,Toys,East,24,149.43
ORD-1142,2026-04-01,Electronics,North,45,20.36
ORD-1092,2026-04-04,Garden,South,11,111.52
ORD-1201,2026-04-05,Toys,West,3,113.68
ORD-1205,2026-04-05,Toys,North,11,148.65
ORD-1270,2026-04-05,Electronics,West,27,18.15
ORD-1068,2026-04-06,Garden,North,31,147.01
ORD-1051,2026-04-08,Clothing,West,4,183.74
ORD-1195,2026-04-10,Electronics,Unknown,11,94.5
ORD-1209,2026-04-11,Electronics,West,14,123.46
ORD-1224,2026-04-11,Electronics,East,16,190.94
ORD-1164,2026-04-12,Toys,North,33,198.92
ORD-1050,2026-04-14,Toys,West,26,132.24
ORD-1218,2026-04-21,Clothing,Unknown,49,66.27
ORD-1222,2026-04-21,Electronics,North,22,114.85
ORD-1052,2026-04-22,Clothing,North,33,166.62
ORD-1220,2026-04-26,Electronics,Unknown,19,121.75
ORD-1022,2026-04-28,Electronics,North,47,160.72
ORD-1087,2026-05-01,Garden,North,49,131.35
ORD-1101,2026-05-02,Home Goods,Unknown,44,150.11
ORD-1148,2026-05-02,Clothing,North,30,75.64
ORD-1024,2026-05-04,Clothing,North,6,35.76
ORD-1033,2026-05-05,Home Goods,North,46,127.94
ORD-1196,2026-05-05,Toys,Unknown,23,152.85
ORD-1275,2026-05-06,Clothing,Unknown,29,16.62
ORD-1010,2026-05-09,Garden,West,24,103.38
ORD-1077,2026-05-10,Clothing,North,37,95.47
ORD-1131,2026-05-10,Electronics,North,33,132.38
ORD-1015,2026-05-11,Electronics,North,24,14.41
ORD-1114,2026-05-11,Electronics,Unknown,45,130.9
ORD-1130,2026-05-11,Toys,East,49,145.05
ORD-1206,2026-05-11,Garden,East,2,24.59
ORD-1189,2026-05-12,Clothing,Unknown,38,88.23
ORD-1021,2026-05-16,Clothing,West,13,72.8
ORD-1034,2026-05-16,Electronics,North,28,11.69
ORD-1096,2026-05-19,Electronics,West,31,153.29
ORD-1133,2026-05-22,Garden,Unknown,45,141.43
ORD-1273,2026-05-23,Clothing,East,26,139.91
ORD-1225,2026-05-24,Home Goods,Unknown,24,26.29
ORD-1250,2026-05-24,Home Goods,South,13,167.17
ORD-1264,2026-05-25,Toys,North,18,73.09
ORD-1012,2026-05-28,Electronics,Unknown,49,70.01
ORD-1223,2026-05-28,Toys,North,6,134.84
ORD-1151,2026-06-03,Electronics,South,29,123.13
ORD-1064,2026-06-04,Home Goods,North,2,181.88
ORD-1095,2026-06-05,Home Goods,West,33,58.72
ORD-1110,2026-06-05,Home Goods,East,48,157.94
ORD-1154,2026-06-05,Home Goods,Unknown,43,28.4
ORD-1059,2026-06-06,Electronics,North,2,119.6
ORD-1212,2026-06-09,Home Goods,South,36,194.66
ORD-1049,2026-06-10,Home Goods,South,2,196.84
ORD-1060,2026-06-14,Clothing,South,17,92.58
ORD-1256,2026-06-14,Electronics,North,34,106.71
ORD-1276,2026-06-16,Home Goods,South,17,143.9
ORD-1124,2026-06-17,Clothing,Unknown,4,169.92
ORD-1269,2026-06-18,Garden,North,44,55.98
ORD-1219,2026-06-19,Clothing,Unknown,47,85.32
ORD-1147,2026-06-20,Toys,South,5,62.66
ORD-1247,2026-06-20,Toys,South,21,108.13
ORD-1002,2026-06-21,Home Goods,West,38,34.45
ORD-1138,2026-06-22,Clothing,Unknown,20,80.87
ORD-1156,2026-06-22,Clothing,East,24,45.2
ORD-1102,2026-06-23,Clothing,South,45,159.84
ORD-1238,2026-06-23,Home Goods,Unknown,26,49.16
ORD-1044,2026-06-24,Toys,West,43,125.76
ORD-1210,2026-06-24,Electronics,North,36,97.24
ORD-1109,2026-06-25,Electronics,Unknown,3,9.57
ORD-1228,2026-06-25,Clothing,West,46,18.39
ORD-1039,2026-06-26,Home Goods,South,7,174.82
ORD-1266,2026-06-26,Toys,East,24,63.73
ORD-1166,2026-06-27,Clothing,West,40,6.74
ORD-1258,2026-06-27,Electronics,North,25,111.88
